framework_code,version,control_number,domain,title_en,title_ar,requirement_en,requirement_ar,control_type,maturity_level,implementation_guidance_en,evidence_requirements,mapping_iso27001,mapping_nist,status,source_file
MOH-PS,v1.0,17.1,deterioration,Patient Deterioration,تدهور الحالة,Detect patient deterioration,كشف تدهور حالة المريض,detective,3,Implement early warning scores (EWS/MEWS). Monitor vital signs regularly. Escalate concerning changes. Activate rapid response team. Document interventions.,EWS/MEWS implementation|Regular vital monitoring|Change escalation|Rapid response activation|Intervention documentation,A.12.4,DE.CM-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,16.2,emergency,Crash Carts,عربات الطوارئ,Manage crash carts,إدارة عربات الطوارئ,preventive,3,Stock crash carts with emergency supplies. Check daily. Seal after checking. Replace after use. Track expiration dates.,Emergency supply stocking|Daily checks|Post-check sealing|Post-use replacement|Expiration tracking,A.17.1,RS.RP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,16.1,emergency,Emergency Response,الاستجابة للطوارئ,Respond to patient emergencies,الاستجابة لطوارئ المرضى,corrective,4,Establish code blue system. Train staff in CPR/ACLS. Maintain crash carts. Ensure defibrillator availability. Conduct emergency drills.,Code blue system|CPR/ACLS training|Crash cart maintenance|Defibrillator availability|Emergency drills,A.17.1,RS.RP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,15.2,equipment,Equipment Maintenance,صيانة المعدات,Maintain medical equipment,صيانة المعدات الطبية,preventive,3,Schedule regular equipment maintenance. Keep maintenance records. Calibrate equipment per manufacturer. Test safety features. Document maintenance.,Regular scheduling|Record keeping|Manufacturer calibration|Safety testing|Maintenance documentation,A.11.2,PR.IP-3,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,15.1,equipment,Equipment Safety,سلامة المعدات,Ensure medical equipment safety,ضمان سلامة المعدات الطبية,preventive,3,Maintain medical equipment. Conduct preventive maintenance. Test equipment regularly. Remove defective equipment. Train staff on proper use.,Equipment maintenance|Preventive maintenance|Regular testing|Defective removal|Staff training,A.11.2,PR.PT-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,14.2,nutrition,Aspiration Risk,مخاطر الاختناق,Prevent aspiration,منع مخاطر الاختناق,preventive,3,Assess swallowing ability. Implement aspiration precautions. Position patients upright during feeding. Modify diet consistency. Monitor for aspiration signs.,Swallowing assessment|Aspiration precautions|Upright positioning|Diet modification|Sign monitoring,A.11.1,PR.PT-2,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,14.1,nutrition,Nutrition,التغذية,Ensure proper nutrition,ضمان التغذية السليمة,preventive,2,Assess nutritional status on admission. Identify malnutrition risk. Provide nutritional support. Monitor nutritional intake. Consult dietitian when needed.,Admission assessment|Malnutrition identification|Nutritional support|Intake monitoring|Dietitian consultation,A.12.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,13.2,adverse,Sentinel Events,الأحداث الحارسة,Manage sentinel events,إدارة الأحداث الحارسة,corrective,4,Identify sentinel events: unexpected death/injury. Conduct immediate investigation. Perform comprehensive RCA. Implement improvements. Report externally.,Sentinel identification (death/injury)|Immediate investigation|Comprehensive RCA|Improvement implementation|External reporting,A.16.1,RS.AN-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,7.1,pressure,Pressure Ulcers,قرح الضغط,Prevent pressure ulcers,منع قرح الضغط,preventive,3,Assess pressure ulcer risk. Implement prevention measures: repositioning special mattresses skin care. Monitor skin condition. Document interventions.,Risk assessment|Prevention measures (repositioning/mattresses/skin care)|Skin monitoring|Intervention documentation,A.11.1,PR.PT-2,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,7.2,pressure,Pressure Ulcer Risk,تقييم خطر القرح,Assess pressure ulcer risk,تقييم خطر قرح الضغط,detective,3,Use Braden Scale or similar tool. Assess on admission and daily for high-risk. Identify risk factors: immobility malnutrition moisture. Document scores.,Braden Scale usage|Admission/daily assessment|Risk factor identification (immobility/malnutrition/moisture)|Score documentation,A.8.1,ID.RA-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,8.1,restraints,Physical Restraints,تقييد الحركة,Manage physical restraints,إدارة تقييد الحركة,preventive,3,Use restraints only when necessary for safety. Obtain physician order. Monitor restrained patients frequently. Document rationale. Seek alternatives.,Safety-only usage|Physician order|Frequent monitoring|Rationale documentation|Alternative seeking,A.11.1,PR.PT-2,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,8.2,restraints,Restrained Patient Monitoring,مراقبة المقيدين,Monitor restrained patients,مراقبة المرضى المقيدين,detective,3,Monitor every 15-30 minutes. Check circulation skin integrity comfort. Provide range of motion. Offer fluids toileting. Remove restraints when safe.,15-30 min monitoring|Circulation/skin/comfort checks|ROM provision|Fluids/toileting|Safe removal,A.11.1,DE.CM-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,9.1,blood,Blood Transfusion Safety,سلامة نقل الدم,Ensure blood transfusion safety,ضمان سلامة نقل الدم,preventive,4,Verify blood type compatibility. Use two-person verification. Check patient identity at bedside. Monitor for transfusion reactions. Document transfusion.,Type compatibility|Two-person verification|Bedside ID check|Reaction monitoring|Transfusion documentation,A.12.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,9.2,blood,Blood Type Verification,التحقق من فصيلة الدم,Verify blood type,التحقق من فصيلة الدم,preventive,4,Confirm blood type before transfusion. Match blood unit to patient. Use two identifiers. Verify ABO/Rh compatibility. Document verification.,Pre-transfusion confirmation|Unit-patient matching|Two identifiers|ABO/Rh compatibility|Verification documentation,A.12.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,6.3,surgery,Surgical Time-Out,وقفة الأمان,Perform surgical time-out,إجراء وقفة الأمان,preventive,4,Conduct time-out before incision. Involve entire surgical team. Verify patient procedure site laterality. Confirm antibiotic administration. Check allergies. Document time-out.,Pre-incision time-out|Full team involvement|Patient/procedure/site/laterality verification|Antibiotic/allergy confirmation|Time-out documentation,A.12.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,10.1,consent,Informed Consent,الموافقة المستنيرة,Obtain informed consent,الحصول على الموافقة المستنيرة,preventive,3,Obtain informed consent for procedures. Explain risks benefits alternatives. Ensure patient understanding. Document consent. Verify before procedure.,Procedure consent|Risk/benefit/alternative explanation|Understanding assurance|Consent documentation|Pre-procedure verification,A.18.1,PR.IP-2,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,11.1,handoff,Care Handoff,تسليم الرعاية,Manage care handoffs,إدارة تسليم الرعاية,preventive,3,Standardize handoff communication. Use SBAR (Situation Background Assessment Recommendation). Allow questions. Document handoff. Minimize interruptions.,Standardized communication|SBAR usage|Question allowance|Handoff documentation|Interruption minimization,A.18.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,11.2,handoff,Effective Communication,التواصل الفعال,Ensure effective communication,ضمان التواصل الفعال,preventive,3,Implement structured communication tools. Read back verbal orders. Clarify unclear information. Document critical conversations. Use closed-loop communication.,Structured tools|Verbal order read-back|Clarification|Critical conversation documentation|Closed-loop communication,A.18.1,PR.IP-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,12.1,reporting,Incident Reporting,الإبلاغ عن الحوادث,Report patient safety incidents,الإبلاغ عن حوادث سلامة المرضى,corrective,3,Implement incident reporting system. Encourage all staff to report. Report near misses and actual events. Protect reporter confidentiality. Act on reports.,Reporting system|Staff encouragement|Near miss/actual event reporting|Reporter confidentiality|Report action,A.16.1,RS.CO-3,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,12.2,reporting,Incident Analysis,تحليل الحوادث,Analyze patient safety incidents,تحليل حوادث سلامة المرضى,detective,3,Analyze all reported incidents. Conduct root cause analysis for serious events. Identify contributing factors. Develop action plans. Track implementation.,Incident analysis|RCA for serious events|Contributing factor identification|Action planning|Implementation tracking,A.16.1,RS.AN-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,12.3,reporting,Learning from Incidents,التعلم من الحوادث,Learn from incidents,التعلم من الحوادث,corrective,2,Share lessons learned from incidents. Implement system improvements. Communicate changes to staff. Monitor effectiveness. Prevent recurrence.,Lesson sharing|System improvements|Change communication|Effectiveness monitoring|Recurrence prevention,A.16.1,RS.IM-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,13.1,adverse,Adverse Events,الأحداث السلبية,Manage adverse events,إدارة الأحداث السلبية,corrective,3,Define adverse events and near misses. Track adverse event rates. Investigate serious adverse events. Implement preventive measures. Report to MOH.,Adverse event/near miss definition|Rate tracking|Serious event investigation|Preventive measures|MOH reporting,A.16.1,RS.MI-1,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,10.2,consent,Consent Documentation,توثيق الموافقة,Document consent,توثيق الموافقة,preventive,2,Document informed consent in medical record. Include date time provider patient signature. Specify procedure consented. Maintain consent forms.,Medical record documentation|Date/time/provider/patient signature|Procedure specification|Form maintenance,A.12.3,PR.IP-4,active,controls_moh_patient_safety_complete.csv
MOH-PS,v1.0,22.1,radiation,Radiation Safety,سلامة الإشعاع,Ensure radiation safety,ضمان سلامة الإشعاع,preventive,3,Minimize radiation exposure. Use shielding. Follow ALARA principle. Monitor radiation doses. Protect pregnant patients. Train staff.,Exposure minimization|Shielding usage|ALARA principle|Dose monitoring|Pregnancy protection|Staff training,A.11.1,PR.PT-1,active,controls_moh_patient_safety_complete.csv
MOH-HIS,v1.0    ,14.1,audit            ,Health Systems Audit,تدقيق النظم الصحية,Audit health systems security,تدقيق أمن النظم الصحية,detective    ,3,Conduct regular health IT security audits. Review access logs. Test security controls. Assess compliance. Implement findings.,Regular security audits|Log reviews|Control testing|Compliance assessment|Finding implementation,A.18.2           ,DE.CM-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,13.1,training         ,Clinical Staff Training,تدريب الموظفين الطبيين,Train staff on health information security,تدريب الموظفين على أمن المعلومات الصحية,preventive   ,2,Train all clinical staff on patient privacy and data security. Cover HIPAA/local regulations. Conduct annual training. Test understanding.,Clinical staff training|Privacy/security coverage|HIPAA/local regulations|Annual training|Understanding testing,A.6.3            ,PR.AT-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-EMR,v1.0,24.1,compliance,Compliance,الامتثال,Ensure EMR compliance,ضمان امتثال السجل الإلكتروني,preventive,3,Comply with MOH EMR requirements. Meet meaningful use criteria. Support quality reporting. Enable clinical research. Maintain certification.,MOH compliance|Meaningful use|Quality reporting|Research support|Certification maintenance,A.18.1,ID.GV-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,23.1,governance,EMR Governance,حوكمة السجل الإلكتروني,Implement EMR governance,تطبيق حوكمة السجل الإلكتروني,preventive,2,Establish EMR governance committee. Define policies and standards. Approve system changes. Review system performance. Set strategic direction.,Governance committee|Policy/standard definition|Change approval|Performance reviews|Strategic direction,A.5.1,ID.GV-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,22.2,customization,Updates,التحديثات,Manage system updates,إدارة تحديثات النظام,preventive,3,Apply vendor updates regularly. Test updates in non-production. Plan update windows. Communicate changes. Monitor post-update.,Regular vendor updates|Non-production testing|Window planning|Change communication|Post-update monitoring,A.12.6,PR.IP-12,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,22.1,customization,Customization,التخصيص,Manage system customization,إدارة تخصيص النظام,preventive,2,Control EMR customizations. Test before production. Document all changes. Avoid over-customization. Maintain upgradeability.,Customization control|Pre-production testing|Change documentation|Over-customization avoidance|Upgradeability maintenance,A.12.1,PR.IP-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,21.2,integration,Interfaces,الواجهات,Manage interfaces,إدارة الواجهات,preventive,3,Monitor interface status. Track message flow. Resolve interface errors. Test interfaces regularly. Document interface specifications.,Status monitoring|Flow tracking|Error resolution|Regular testing|Specification documentation,A.13.1,PR.IP-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,21.1,integration,Integration,التكامل,Integrate with other systems,تكامل مع الأنظمة الأخرى,preventive,3,Interface EMR with lab pharmacy radiology billing. Use HL7 messages. Enable bidirectional data flow. Maintain interface reliability.,Lab/pharmacy/radiology/billing interface|HL7 messaging|Bidirectional flow|Interface reliability,A.13.1,PR.IP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,20.2,analytics,Dashboards,لوحات المعلومات,Provide dashboards,توفير لوحات المعلومات,detective,2,Create clinical dashboards. Display key metrics. Enable drill-down. Provide real-time data. Support decision-making.,Clinical dashboards|Metric display|Drill-down enabling|Real-time data|Decision support,A.12.4,DE.CM-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,20.1,analytics,Analytics,التحليلات,Enable data analytics,تفعيل تحليلات البيانات,detective,3,Implement clinical analytics. Generate quality reports. Enable population health management. Provide dashboards. Support research.,Clinical analytics|Quality reports|Population health|Dashboards|Research support,A.12.4,DE.AE-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,19.2,mobile,Mobile Devices,الأجهزة المحمولة,Manage mobile devices,إدارة الأجهزة المحمولة,preventive,4,Implement MDM for clinical devices. Enforce device encryption. Enable remote wipe. Control app installation. Monitor compliance.,Clinical MDM|Device encryption|Remote wipe|App control|Compliance monitoring,A.8.3,PR.PT-2,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,19.1,mobile,Mobile Applications,التطبيقات المحمولة,Implement mobile applications,تطبيق التطبيقات المحمولة,preventive,3,Provide mobile EMR access. Secure mobile apps. Enable offline functionality. Sync when online. Support BYOD policies.,Mobile access|App security|Offline functionality|Online syncing|BYOD support,A.8.3,PR.PT-2,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,18.2,patient-portal,Patient Engagement,المشاركة,Promote patient engagement,تعزيز مشاركة المرضى,preventive,2,Encourage portal use. Educate patients on portal benefits. Provide portal training. Enable proxy access. Monitor portal adoption.,Portal use encouragement|Benefit education|Portal training|Proxy access|Adoption monitoring,A.18.1,PR.IP-2,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,18.1,patient-portal,Patient Portal,بوابة المرضى,Implement patient portal,تطبيق بوابة المرضى,preventive,2,Deploy patient portal. Enable appointment scheduling. Provide lab/imaging results. Allow secure messaging. Offer medication refills.,Portal deployment|Appointment scheduling|Result provision|Secure messaging|Refill offering,A.13.2,PR.IP-2,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,17.2,audit,Audit Trails,سجلات التدقيق,Maintain audit trails,الحفاظ على سجلات التدقيق,detective,3,Enable comprehensive audit logging. Log all data access and changes. Retain audit logs for 10 years. Protect logs from modification. Enable audit review.,Comprehensive logging|Access/change logging|10-year retention|Modification protection|Review enabling,A.12.4,DE.CM-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,17.1,audit,System Audit,تدقيق النظام,Audit EMR system,تدقيق السجل الإلكتروني,detective,3,Conduct regular EMR audits. Review system logs. Check access patterns. Verify data integrity. Assess compliance. Document findings.,Regular audits|Log reviews|Pattern checks|Integrity verification|Compliance assessment|Finding documentation,A.18.2,DE.CM-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,16.2,downtime,Paper Records,السجلات الورقية,Manage temporary paper records,إدارة السجلات الورقية المؤقتة,corrective,2,Maintain downtime documentation supplies. Use standardized forms. Capture essential data. Enter into EMR after recovery. Reconcile records.,Supply maintenance|Standardized forms|Essential data capture|Post-recovery entry|Record reconciliation,A.17.1,RS.RP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,16.1,downtime,Downtime Procedures,إجراءات التعطل,Establish downtime procedures,وضع إجراءات التعطل,corrective,3,Develop downtime protocols. Provide paper forms. Train staff on downtime procedures. Test downtime plan. Document workarounds.,Protocol development|Paper forms|Staff training|Plan testing|Workaround documentation,A.17.1,RS.RP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,15.2,training,User Support,الدعم,Provide user support,توفير دعم المستخدمين,corrective,2,Establish EMR help desk. Provide 24/7 support for clinical users. Resolve issues promptly. Track support tickets. Provide super-user support.,Help desk establishment|24/7 clinical support|Prompt resolution|Ticket tracking|Super-user support,A.18.1,RS.CO-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,8.2,documentation,Progress Notes,الملاحظات,Structure progress notes,تنظيم الملاحظات السريرية,preventive,2,Use structured note format. Include assessment and plan. Document changes in condition. Time-stamp all notes. Enable co-signature.,Structured format|A&P inclusion|Condition change documentation|Time-stamping|Co-signature enabling,A.12.3,PR.DS-6,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,9.1,interoperability,Interoperability,التشغيل البيني,Achieve interoperability,تحقيق التشغيل البيني,preventive,4,Implement HL7/FHIR standards. Exchange data with other systems. Enable health information exchange. Share data with MOH. Support continuity of care.,HL7/FHIR implementation|Cross-system exchange|HIE enabling|MOH data sharing|Continuity support,A.13.1,PR.IP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,9.2,interoperability,Data Exchange,تبادل البيانات,Enable data exchange,تمكين تبادل البيانات,preventive,3,Send and receive clinical data. Support CCD/CCR formats. Enable patient summary sharing. Participate in regional HIE. Ensure secure exchange.,Clinical data send/receive|CCD/CCR support|Summary sharing|Regional HIE participation|Secure exchange,A.13.2,PR.DS-2,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,10.1,access,Access Controls,ضوابط الوصول,Implement access controls,تطبيق ضوابط الوصول,preventive,4,Control EMR access by role. Implement role-based permissions. Use unique user IDs. Enforce strong authentication. Monitor access.,Role-based access|Role permissions|Unique user IDs|Strong authentication|Access monitoring,A.9.2,PR.AC-4,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,10.2,access,Access Logs,سجلات الوصول,Review access logs,مراجعة سجلات الوصول,detective,3,Log all EMR access. Monitor for inappropriate access. Audit VIP/employee records. Investigate suspicious activity. Enforce sanctions.,All-access logging|Inappropriate monitoring|VIP/employee auditing|Suspicious investigation|Sanction enforcement,A.12.4,DE.CM-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,11.1,security,EMR Security,أمن السجل الإلكتروني,Secure EMR system,تأمين نظام السجل الطبي,preventive,4,Encrypt EMR data at rest and in transit. Implement firewalls. Use intrusion detection. Patch systems regularly. Conduct security assessments.,Data encryption (rest/transit)|Firewall implementation|Intrusion detection|Regular patching|Security assessments,A.10.1,PR.DS-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,24.2,compliance,Certification,الشهادات,Maintain system certification,الحفاظ على شهادات النظام,preventive,2,Achieve EMR certification. Maintain certified status. Meet certification criteria. Document compliance. Prepare for recertification.,Certification achievement|Status maintenance|Criteria meeting|Compliance documentation|Recertification preparation,A.18.1,ID.GV-3,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,11.2,security,Data Encryption,تشفير البيانات,Encrypt medical data,تشفير البيانات الطبية,preventive,4,Encrypt patient data end-to-end. Use AES-256 encryption. Encrypt backups. Protect encryption keys. Ensure secure transmission.,End-to-end encryption|AES-256 usage|Backup encryption|Key protection|Secure transmission,A.10.1,PR.DS-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,12.2,backup,Data Recovery,استعادة البيانات,Test data recovery,اختبار استعادة البيانات,corrective,3,Test backup restoration monthly. Verify data integrity. Measure recovery time. Document test results. Ensure RPO/RTO compliance.,Monthly testing|Integrity verification|Time measurement|Result documentation|RPO/RTO compliance,A.17.1,RS.RP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,13.1,availability,Availability,التوفر,Ensure system availability,ضمان توفر النظام,preventive,4,Maintain 99.9%+ uptime. Implement redundancy. Use load balancing. Enable failover. Monitor system health. Minimize downtime.,99.9%+ uptime|Redundancy implementation|Load balancing|Failover enabling|Health monitoring|Downtime minimization,A.17.2,PR.PT-5,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,13.2,availability,Disaster Recovery,التعافي,Disaster recovery,التعافي من الكوارث,corrective,4,Develop EMR disaster recovery plan. Define RTO (2-4 hours) and RPO (15 minutes). Maintain hot site. Test DR annually. Document procedures.,DR plan|RTO/RPO definition (2-4hr/15min)|Hot site|Annual testing|Procedure documentation,A.17.2,RS.RP-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,14.1,performance,Performance,الأداء,Monitor system performance,مراقبة أداء النظام,detective,3,Monitor EMR performance continuously. Track response times. Identify bottlenecks. Optimize slow queries. Ensure acceptable speed.,Continuous monitoring|Response tracking|Bottleneck identification|Query optimization|Speed assurance,A.12.1,DE.CM-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,14.2,performance,Optimization,التحسين,Optimize system performance,تحسين أداء النظام,preventive,2,Tune database performance. Optimize server resources. Archive old data. Clean up unused records. Maintain system efficiency.,Database tuning|Resource optimization|Data archival|Record cleanup|Efficiency maintenance,A.12.1,PR.IP-7,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,15.1,training,Training,التدريب,Provide system training,توفير التدريب على النظام,preventive,2,Train all EMR users. Provide role-specific training. Offer hands-on practice. Test competency. Provide ongoing education.,All-user training|Role-specific training|Hands-on practice|Competency testing|Ongoing education,A.6.3,PR.AT-1,active,controls_moh_emr_complete.csv
MOH-EMR,v1.0,12.1,backup,Backup,النسخ الاحتياطي,Perform backups,إجراء النسخ الاحتياطي,corrective,4,Backup EMR data daily. Store backups offsite. Encrypt backups. Test restoration regularly. Maintain backup logs. Ensure 24-hour recovery.,Daily backups|Offsite storage|Backup encryption|Regular restoration tests|Log maintenance|24-hour recovery,A.17.1,RS.RP-1,active,controls_moh_emr_complete.csv
MOH-HIS,v1.0    ,13.2,training         ,Privacy Awareness,التوعية بالخصوصية,Raise patient privacy awareness,رفع الوعي بخصوصية المرضى,preventive   ,2,Raise awareness of patient privacy obligations. Share privacy policies. Communicate privacy incidents. Update on regulations.,Privacy obligation awareness|Policy sharing|Incident communication|Regulation updates,A.6.3            ,PR.AT-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-EMR,v1.0,25.1,quality,Data Quality,جودة البيانات,Ensure data quality,ضمان جودة البيانات,preventive,3,Monitor EMR data quality. Validate data accuracy. Implement data quality checks. Clean duplicate records. Maintain data integrity.,Quality monitoring|Accuracy validation|Quality checks|Duplicate cleaning|Integrity maintenance,A.12.3,PR.DS-6,active,controls_moh_emr_complete.csv
MOH-HIS,v1.0    ,1.1,governance       ,Health Systems Governance,حوكمة النظم الصحية,Implement health information systems governance,تطبيق حوكمة نظم المعلومات الصحية,preventive   ,2,Establish HIS governance framework. Define health IT strategy. Assign HIS responsibilities. Implement health IT policies.,HIS governance framework|Health IT strategy|Responsibility assignment|Health IT policies,A.5.1            ,ID.GV-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,12.2,vendor           ,Business Associate Agreements,اتفاقيات شركاء الأعمال,Business associate agreements for health,اتفاقيات شركاء الأعمال الصحيين,preventive   ,3,Execute BAAs with vendors accessing patient data. Define data protection obligations. Include breach notification requirements. Monitor vendor compliance.,BAA execution|Protection obligations|Breach notification|Vendor compliance monitoring,A.15.1           ,ID.SC-4      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,12.1,vendor           ,Health System Vendors,موردو النظم الصحية,Manage health system vendors,إدارة موردي النظم الصحية,preventive   ,3,Assess vendor security. Include security requirements in contracts. Verify vendor compliance. Monitor vendor access to health data.,Vendor security assessment|Contract security requirements|Compliance verification|Access monitoring,A.15.1           ,ID.SC-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,11.2,continuity       ,Medical Data Backup,النسخ الاحتياطي للبيانات الطبية,Backup medical data,النسخ الاحتياطي للبيانات الطبية,corrective   ,4,Backup patient data daily. Store backups offsite. Encrypt backups. Test restoration regularly. Maintain backup logs.,Daily backups|Offsite storage|Backup encryption|Regular restoration tests|Backup logs,A.17.1           ,RS.RP-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,11.1,continuity       ,Healthcare Continuity,استمرارية الخدمات الصحية,Ensure healthcare services continuity,ضمان استمرارية الخدمات الصحية,corrective   ,4,Develop healthcare BCP. Define RTOs for critical systems (typically 2-4 hours). Maintain backup systems. Test failover. Enable patient care continuity.,Healthcare BCP|Critical RTO (2-4 hours)|Backup systems|Failover testing|Care continuity,A.17.1           ,RS.RP-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,10.2,research         ,Data De-identification,إخفاء هوية البيانات,De-identify health data,إخفاء هوية البيانات الصحية,preventive   ,3,De-identify patient data for secondary use. Remove direct identifiers. Apply k-anonymity or differential privacy. Prevent re-identification.,Patient de-identification|Identifier removal|K-anonymity/differential privacy|Re-identification prevention,A.18.1           ,PR.DS-5      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,10.1,research         ,Medical Research,البحث الطبي,Medical research controls,ضوابط البحث الطبي,preventive   ,3,Obtain ethics approval for research. Get informed consent from subjects. Anonymize research data. Protect research participant privacy.,Ethics approval|Informed consent|Data anonymization|Participant privacy,A.18.1           ,PR.IP-11     ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,9.2,incident         ,Patient Notification,إخطار المرضى,Notify patients of data breaches,إخطار المرضى عند خرق البيانات,corrective   ,4,Notify patients of health data breaches within required timeframe. Explain breach impact. Provide remediation steps. Offer support services.,Timely notification|Impact explanation|Remediation steps|Support services,A.16.1           ,RS.CO-3      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,9.1,incident         ,Health Data Incidents,حوادث البيانات الصحية,Respond to health data incidents,الاستجابة لحوادث البيانات الصحية,corrective   ,4,Develop health data breach response plan. Notify affected patients. Report to MOH. Investigate incidents. Remediate vulnerabilities.,Breach response plan|Patient notification|MOH reporting|Incident investigation|Vulnerability remediation,A.16.1           ,RS.MI-1      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,8.2,mobile-health    ,Medical Mobile Devices,الأجهزة المحمولة الطبية,Manage medical mobile devices,إدارة الأجهزة المحمولة الطبية,preventive   ,4,Implement MDM for clinical devices. Encrypt mobile devices. Enable remote wipe. Control app installation. Monitor device compliance.,Clinical MDM|Device encryption|Remote wipe|App control|Compliance monitoring,A.8.3            ,PR.PT-2      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,8.1,mobile-health    ,Mobile Health Apps,تطبيقات الصحة المحمولة,Secure mobile health applications,تأمين تطبيقات الصحة المحمولة,preventive   ,4,Secure mHealth apps. Encrypt health data on devices. Implement app authentication. Control app permissions. Test app security.,mHealth security|Device encryption|App authentication|Permission control|Security testing,A.14.1           ,PR.IP-2      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,7.2,telemedicine     ,Teleconsultation Privacy,خصوصية الاستشارة عن بعد,Ensure teleconsultation privacy,ضمان خصوصية الاستشارة عن بعد,preventive   ,4,Protect virtual consultation privacy. Use secure communication platforms. Prevent unauthorized access to sessions. Document informed consent.,Virtual privacy protection|Secure platforms|Unauthorized prevention|Informed consent,A.13.2           ,PR.AC-4      ,active,controls_moh_health_information_systems_complete.csv
MOH-HIS,v1.0    ,7.1,telemedicine     ,Telemedicine,الطب عن بعد,Secure telemedicine services,تأمين خدمات الطب عن بعد,preventive   ,4,Secure telehealth platforms. Encrypt video consultations. Verify patient identity. Maintain teleconsultation records. Ensure privacy.,Telehealth security|Video encryption|Patient identity verification|Teleconsultation records|Privacy assurance,A.13.1           ,PR.DS-2      ,active,controls_moh_health_information_systems_complete.csv
